,Code,Name,Date,Open,High,Low,Close,Volume,Change
157,195870,해성디에스,2019-08-21,11800,12350,11700,12100,111803,0.029787234042553123
158,195870,해성디에스,2019-08-22,12100,12200,11850,12100,22703,0.0
159,195870,해성디에스,2019-08-23,11900,12150,11850,12100,24879,0.0
160,195870,해성디에스,2019-08-26,11650,11800,11350,11450,95853,-0.05371900826446285
161,195870,해성디에스,2019-08-27,11650,11800,11100,11350,40758,-0.008733624454148492
162,195870,해성디에스,2019-08-28,11250,11450,11200,11450,19839,0.008810572687224738
163,195870,해성디에스,2019-08-29,11550,11550,11200,11200,15859,-0.02183406113537123
164,195870,해성디에스,2019-08-30,11300,11550,11300,11450,30300,0.022321428571428603
165,195870,해성디에스,2019-09-02,11450,11650,11350,11450,24638,0.0
166,195870,해성디에스,2019-09-03,11500,11750,11350,11600,29250,0.013100436681222629
167,195870,해성디에스,2019-09-04,11600,12200,11550,12100,66019,0.0431034482758621
168,195870,해성디에스,2019-09-05,12150,12550,12050,12500,47777,0.03305785123966931
169,195870,해성디에스,2019-09-06,12650,12650,12200,12500,42666,0.0
170,195870,해성디에스,2019-09-09,12500,12600,12300,12350,34909,-0.012000000000000009
171,195870,해성디에스,2019-09-10,12550,13050,12400,12900,94063,0.04453441295546568
172,195870,해성디에스,2019-09-11,12850,13000,12750,12850,38984,-0.003875968992248069
173,195870,해성디에스,2019-09-16,13050,13100,12800,12950,35042,0.007782101167315147
174,195870,해성디에스,2019-09-17,12950,13200,12800,13000,43148,0.0038610038610038533
175,195870,해성디에스,2019-09-18,13000,13200,12900,13200,28292,0.015384615384615332
176,195870,해성디에스,2019-09-19,13200,13350,12900,13200,44481,0.0
177,195870,해성디에스,2019-09-20,13200,13200,12950,13150,33172,-0.003787878787878785
178,195870,해성디에스,2019-09-23,13050,13200,13000,13150,17195,0.0
179,195870,해성디에스,2019-09-24,13050,14150,13050,14100,265140,0.07224334600760463
180,195870,해성디에스,2019-09-25,14100,14100,13500,13650,78557,-0.03191489361702127
181,195870,해성디에스,2019-09-26,13850,14150,13600,13850,72934,0.0146520146520146
182,195870,해성디에스,2019-09-27,13850,14050,13650,13750,40692,-0.007220216606498186
183,195870,해성디에스,2019-09-30,13750,13850,13550,13650,27247,-0.007272727272727319
184,195870,해성디에스,2019-10-01,13400,14300,13400,14200,121546,0.04029304029304037
185,195870,해성디에스,2019-10-02,13900,14150,13900,13950,30688,-0.017605633802816878
186,195870,해성디에스,2019-10-04,13800,14250,13600,14100,63812,0.010752688172043
187,195870,해성디에스,2019-10-07,13950,14200,13850,13900,19157,-0.014184397163120588
188,195870,해성디에스,2019-10-08,13900,14100,13600,13950,41848,0.0035971223021582506
189,195870,해성디에스,2019-10-10,13950,14100,13800,14000,14886,0.0035842293906809264
190,195870,해성디에스,2019-10-11,13900,14100,13750,14050,18612,0.003571428571428559
191,195870,해성디에스,2019-10-14,14150,14650,13800,14400,167678,0.02491103202846978
192,195870,해성디에스,2019-10-15,14400,14450,14100,14450,81238,0.003472222222222321
193,195870,해성디에스,2019-10-16,14400,14400,14000,14200,56492,-0.01730103806228378
194,195870,해성디에스,2019-10-17,14100,14450,14000,14400,34867,0.014084507042253502
195,195870,해성디에스,2019-10-18,14500,14600,14250,14350,33907,-0.0034722222222222103
196,195870,해성디에스,2019-10-21,14450,14450,14150,14250,16014,-0.006968641114982632
197,195870,해성디에스,2019-10-22,14300,14350,14000,14250,32003,0.0
198,195870,해성디에스,2019-10-23,14250,14300,13800,14150,41534,-0.0070175438596491455
199,195870,해성디에스,2019-10-24,14050,14150,13750,13950,27820,-0.014134275618374548
200,195870,해성디에스,2019-10-25,13900,14500,13850,14450,68541,0.03584229390680993
201,195870,해성디에스,2019-10-28,14600,15150,14500,15000,148159,0.03806228373702414
202,195870,해성디에스,2019-10-29,15350,15400,14900,15100,86547,0.0066666666666665994
203,195870,해성디에스,2019-10-30,15200,15200,14600,14900,60578,-0.013245033112582738
204,195870,해성디에스,2019-10-31,14850,15000,14600,14700,43629,-0.013422818791946291
